59 56 49 54 46 54 54
59 51 49 54 45 49 53
66 57 43 54 58 56 50
58 51 48 54 42 68 47
56 65 52 65 43 60 57
64 55 51 65 56 50 51
58 63 53 49 59 53 57
56 53 60 51 46 62 47
72 63 43 60 58 55 54
58 54 61 55 55 65 61
55 53 58 55 48 55 49
59 62 53 49 61 58 58
57 66 49 67 57 59 47
63 59 48 51 61 54 54
61 57 51 64 62 55 59
63 62 46 54 43 68 58
61 60 63 51 56 55 65
64 59 61 64 44 54 50
59 56 57 56 47 55 62
59 51 52 66 61 62 51
53 60 57 60 58 68 50
67 52 51 67 53 61 60
71 64 50 56 59 51 50
56 48 52 55 53 65 58
68 64 43 55 61 58 64
63 63 51 47 57 60 66
60 50 60 60 53 59 60
59 48 45 62 57 52 61
68 57 53 59 54 56 51
73 50 49 59 49 55 55
56 49 56 65 54 54 59
62 64 45 51 50 64 52
66 51 56 61 44 56 57
56 60 54 62 56 67 53
61 61 46 52 45 51 57
69 61 62 52 51 48 50
64 66 60 50 60 65 47
54 55 49 47 50 61 67
53 50 48 53 47 63 55
55 61 47 60 60 48 52
72 67 44 54 43 57 66
70 48 46 63 50 64 49
62 66 60 64 59 52 63
71 58 60 67 59 60 57
65 60 61 67 55 66 60
62 53 51 54 50 58 51
61 66 50 67 53 62 65
58 67 49 47 52 67 49
67 67 44 59 45 67 59
53 64 48 57 48 67 49
57 60 46 60 46 64 58
67 56 59 54 48 61 56
69 48 59 66 56 57 62
60 48 54 59 60 60 48
71 55 49 61 52 67 58
63 48 60 59 53 56 48
64 57 60 47 51 58 58
70 60 46 53 59 62 63
57 64 56 58 52 62 54
55 66 47 60 46 55 58
63 60 60 60 43 54 63
56 52 49 54 46 64 65
53 68 51 55 48 62 57
66 65 49 54 53 67 54
69 64 63 58 43 55 56
54 51 43 56 55 56 53
55 64 52 51 48 53 48
61 66 51 55 48 63 51
56 68 46 58 45 60 51
65 49 58 67 53 66 56
54 55 59 56 54 50 61
73 63 52 67 60 64 52
60 48 62 65 49 60 57
66 65 57 67 45 58 52
55 62 45 52 62 57 67
70 57 60 64 52 54 66
63 57 50 52 51 68 62
72 67 45 67 57 56 61
58 61 51 47 52 61 50
54 64 57 59 45 52 61
65 49 60 54 55 53 67
60 65 56 48 56 49 66
61 53 53 63 62 67 65
68 65 46 63 57 62 63
60 66 45 60 47 66 64
57 55 56 65 53 64 57
64 55 56 54 47 49 65
66 56 44 60 57 48 50
63 49 50 59 59 59 67
57 57 62 58 42 67 56
61 54 57 54 52 57 57
67 50 58 67 43 56 49
66 68 62 57 50 65 65
71 66 58 63 44 62 48
54 67 53 53 54 54 62
65 57 60 57 42 59 53
73 63 47 60 55 64 60
67 65 49 49 51 66 62
62 55 48 66 50 66 48
66 49 61 48 44 58 57
67 62 44 54 62 50 58
66 49 63 57 51 50 49
67 67 55 53 48 65 65
57 55 54 47 43 64 66
56 64 62 48 59 53 48
55 67 61 63 58 59 53
69 62 49 53 58 50 66
65 58 60 60 52 55 62
58 57 56 66 55 65 58
59 64 58 63 42 63 59
56 51 55 53 45 66 62
53 52 53 59 57 49 67
61 49 58 53 56 67 58
58 67 61 47 42 55 48
69 49 47 57 54 57 53
72 63 51 53 57 49 62
54 65 46 47 56 66 66
72 53 51 54 62 68 49
55 52 58 57 60 61 47
61 67 55 53 58 56 49
61 53 44 47 54 53 53
73 67 50 57 54 58 65
65 52 60 54 50 58 57
55 52 58 67 60 64 50
62 50 61 58 57 61 60
65 68 60 62 49 54 67
63 67 56 48 49 52 66
69 61 53 48 44 60 60
64 52 50 48 57 48 49
65 52 56 61 61 53 49
54 68 63 56 61 63 62
69 51 58 64 48 54 54
64 51 56 59 62 63 61
63 63 51 63 61 54 58
73 61 62 48 45 52 49
65 64 58 63 52 51 60
72 59 43 50 54 55 51
59 54 57 49 44 58 61
53 60 47 59 48 50 66
71 64 44 51 53 67 48
67 49 61 65 55 48 59
66 63 43 65 50 53 60
58 66 50 63 56 48 49
73 53 56 67 42 62 61
70 57 45 64 50 68 53
61 54 52 47 51 66 63
58 49 44 47 46 52 51
68 60 52 60 49 60 56
61 66 53 49 48 51 58
70 50 43 58 57 51 54
73 59 55 54 57 63 67
59 56 58 55 46 66 67
68 62 45 50 57 55 47
53 63 60 52 57 54 53
60 55 63 62 55 48 66
56 52 45 59 49 55 57
54 55 53 59 51 56 48
62 62 54 67 43 64 53
71 59 52 64 57 55 54
68 61 54 64 46 58 47
66 66 46 51 49 49 60
59 66 43 64 47 61 49
56 66 47 49 50 49 48
60 62 56 65 43 60 67
68 56 48 60 51 61 55
73 61 59 57 60 57 62
55 51 59 52 44 67 66
62 57 44 63 62 58 61
60 65 45 52 57 63 53
60 50 50 60 54 66 57
59 56 61 47 56 52 48
63 60 53 51 61 48 62
53 58 48 64 43 52 57
68 58 51 52 59 54 57
55 54 49 62 54 50 47
67 55 47 64 53 63 65
72 66 55 52 50 68 66
53 53 58 62 43 59 57
73 61 43 54 48 64 50
58 62 57 56 62 64 59
73 53 47 59 51 55 53
64 59 43 65 43 54 63
59 64 52 49 56 49 57
62 52 46 57 47 65 52
57 51 44 59 59 50 60
66 49 43 56 57 53 52
53 66 57 53 56 63 61
70 48 46 62 46 65 54
58 58 50 65 46 60 52
57 49 56 47 60 67 64
61 64 46 61 60 58 56
69 51 46 49 45 63 65
56 65 52 66 54 65 67
66 48 60 51 62 64 50
53 49 48 58 49 61 58
60 51 62 54 42 67 50
62 57 44 50 47 58 55
66 58 54 49 42 49 60
63 51 44 55 62 59 57
70 49 63 52 52 52 65
53 54 46 56 46 59 63
71 52 44 54 59 58 56
62 60 47 63 49 63 49
65 50 46 48 49 64 56
68 50 59 57 42 48 49
60 62 59 59 42 66 57
63 60 49 64 61 66 64
67 56 44 67 52 51 48
59 49 47 54 59 53 66
67 65 53 51 45 60 56
71 50 62 66 51 59 54
55 49 51 60 58 52 49
61 59 62 67 49 65 56
54 56 60 60 42 58 52
54 60 43 50 42 56 67
58 50 48 66 60 57 52
61 62 61 58 44 58 63
66 54 55 49 55 58 61
55 56 51 55 62 49 55
61 62 63 60 62 56 58
62 68 56 49 58 52 61
55 52 43 67 43 51 50
62 48 55 58 48 60 64
66 60 56 55 50 59 56
67 59 51 50 61 64 51
73 61 60 62 43 67 50
70 57 52 57 61 51 60
71 59 55 54 57 57 55
64 65 61 51 48 54 65
62 60 60 58 62 48 59
62 58 58 65 58 55 56
57 57 61 51 57 49 62
58 60 48 61 53 54 67
73 51 55 51 45 48 56
55 63 59 63 48 60 49
60 55 56 62 51 53 61
55 68 50 57 54 57 54
67 48 56 67 42 59 64
58 54 48 52 60 56 67
63 64 55 62 42 50 60
66 59 62 49 53 48 64
56 54 57 56 56 59 64
66 59 59 60 48 65 54
66 61 62 47 50 63 63
64 57 56 49 57 63 65
73 62 54 60 43 56 59
56 68 59 65 62 53 57
61 59 57 55 45 62 65
69 54 59 49 56 56 67
61 63 61 56 42 50 56
67 51 59 66 49 62 57
53 56 56 51 57 59 48
64 51 50 55 60 54 58
54 53 63 53 44 61 62
